Time (sec),  Heater (%),  Temperature (C)
1.113891060352325439e+02,2.500000000000000000e+01,4.371000000000000085e+01
1.123872039318084717e+02,2.500000000000000000e+01,4.407999999999999829e+01
1.133861296176910400e+02,2.500000000000000000e+01,4.417000000000000171e+01
1.143772234916687012e+02,2.500000000000000000e+01,4.435000000000000142e+01
1.153717722892761230e+02,2.500000000000000000e+01,4.459000000000000341e+01
1.163655819892883301e+02,2.500000000000000000e+01,4.464000000000000057e+01
1.173662919998168945e+02,2.500000000000000000e+01,4.475999999999999801e+01
1.183672239780426025e+02,2.500000000000000000e+01,4.504999999999999716e+01
1.193700122833251953e+02,2.500000000000000000e+01,4.513000000000000256e+01
1.203672568798065186e+02,2.500000000000000000e+01,4.517999999999999972e+01
1.213681545257568359e+02,2.500000000000000000e+01,4.552000000000000313e+01
1.223659737110137939e+02,2.500000000000000000e+01,4.557000000000000028e+01
1.233648238182067871e+02,2.500000000000000000e+01,4.565999999999999659e+01
1.243665211200714111e+02,2.500000000000000000e+01,4.603000000000000114e+01
1.253646914958953857e+02,2.500000000000000000e+01,4.604999999999999716e+01
1.263638510704040527e+02,2.500000000000000000e+01,4.614999999999999858e+01
1.273629267215728760e+02,2.500000000000000000e+01,4.653999999999999915e+01
1.283629140853881836e+02,2.500000000000000000e+01,4.661999999999999744e+01
1.293593385219573975e+02,2.500000000000000000e+01,4.671000000000000085e+01
1.303629302978515625e+02,2.500000000000000000e+01,4.700999999999999801e+01
1.313685154914855957e+02,2.500000000000000000e+01,4.713000000000000256e+01
1.323662960529327393e+02,2.500000000000000000e+01,4.736999999999999744e+01
1.333638031482696533e+02,2.500000000000000000e+01,4.753999999999999915e+01
1.343633871078491211e+02,2.500000000000000000e+01,4.761999999999999744e+01
1.353629071712493896e+02,2.500000000000000000e+01,4.768999999999999773e+01
1.363664321899414062e+02,2.500000000000000000e+01,4.800999999999999801e+01
1.373682034015655518e+02,2.500000000000000000e+01,4.810999999999999943e+01
1.383692791461944580e+02,2.500000000000000000e+01,4.839999999999999858e+01
1.393702192306518555e+02,2.500000000000000000e+01,4.852000000000000313e+01
1.403691511154174805e+02,2.500000000000000000e+01,4.859000000000000341e+01
1.413658580780029297e+02,2.500000000000000000e+01,4.867000000000000171e+01
1.423572087287902832e+02,2.500000000000000000e+01,4.889000000000000057e+01
1.433538446426391602e+02,2.500000000000000000e+01,4.903000000000000114e+01
1.443575036525726318e+02,2.500000000000000000e+01,4.907999999999999829e+01
1.453548460006713867e+02,2.500000000000000000e+01,4.920000000000000284e+01
1.463572740554809570e+02,2.500000000000000000e+01,4.945000000000000284e+01
1.473602085113525391e+02,2.500000000000000000e+01,4.957000000000000028e+01
1.483617656230926514e+02,2.500000000000000000e+01,4.981000000000000227e+01
1.493608338832855225e+02,2.500000000000000000e+01,4.999000000000000199e+01
1.503602161407470703e+02,2.500000000000000000e+01,5.007999999999999829e+01
1.513638954162597656e+02,2.500000000000000000e+01,5.039999999999999858e+01
1.523683059215545654e+02,2.500000000000000000e+01,5.042000000000000171e+01
1.533662590980529785e+02,2.500000000000000000e+01,5.054999999999999716e+01
1.543664381504058838e+02,2.500000000000000000e+01,5.067000000000000171e+01
1.553662788867950439e+02,2.500000000000000000e+01,5.099000000000000199e+01
1.563629422187805176e+02,2.500000000000000000e+01,5.103999999999999915e+01
1.573648626804351807e+02,2.500000000000000000e+01,5.113000000000000256e+01
1.583639044761657715e+02,2.500000000000000000e+01,5.142999999999999972e+01
1.593617792129516602e+02,2.500000000000000000e+01,5.146999999999999886e+01
1.603580095767974854e+02,2.500000000000000000e+01,5.154999999999999716e+01
1.613583776950836182e+02,2.500000000000000000e+01,5.189000000000000057e+01
1.623572807312011719e+02,2.500000000000000000e+01,5.190999999999999659e+01
1.633541672229766846e+02,2.500000000000000000e+01,5.200999999999999801e+01
1.643542695045471191e+02,2.500000000000000000e+01,5.207999999999999829e+01
1.653506753444671631e+02,2.500000000000000000e+01,5.238000000000000256e+01
1.663558723926544189e+02,2.500000000000000000e+01,5.235000000000000142e+01
1.673533506393432617e+02,2.500000000000000000e+01,5.250000000000000000e+01
1.683515498638153076e+02,2.500000000000000000e+01,5.250000000000000000e+01
1.693517177104949951e+02,2.500000000000000000e+01,5.282000000000000028e+01
1.703543455600738525e+02,2.500000000000000000e+01,5.292000000000000171e+01
1.713556435108184814e+02,2.500000000000000000e+01,5.293999999999999773e+01
1.723582110404968262e+02,2.500000000000000000e+01,5.299000000000000199e+01
1.733575201034545898e+02,2.500000000000000000e+01,5.313000000000000256e+01
1.743591833114624023e+02,2.500000000000000000e+01,5.332999999999999829e+01
1.753627746105194092e+02,2.500000000000000000e+01,5.345000000000000284e+01
1.763645687103271484e+02,2.500000000000000000e+01,5.353000000000000114e+01
1.773681421279907227e+02,2.500000000000000000e+01,5.382000000000000028e+01
1.783682794570922852e+02,2.500000000000000000e+01,5.389000000000000057e+01
1.793699176311492920e+02,2.500000000000000000e+01,5.393999999999999773e+01
1.803644371032714844e+02,2.500000000000000000e+01,5.396000000000000085e+01
1.813656954765319824e+02,2.500000000000000000e+01,5.422999999999999687e+01
1.823672740459442139e+02,2.500000000000000000e+01,5.439999999999999858e+01
1.833683617115020752e+02,2.500000000000000000e+01,5.435999999999999943e+01
1.843645727634429932e+02,2.500000000000000000e+01,5.445000000000000284e+01
1.853673732280731201e+02,2.500000000000000000e+01,5.482000000000000028e+01
1.863644890785217285e+02,2.500000000000000000e+01,5.484000000000000341e+01
1.873670873641967773e+02,2.500000000000000000e+01,5.496999999999999886e+01
1.883590974807739258e+02,2.500000000000000000e+01,5.531000000000000227e+01
1.893605153560638428e+02,2.500000000000000000e+01,5.532999999999999829e+01
1.903646881580352783e+02,2.500000000000000000e+01,5.542999999999999972e+01
1.913607268333435059e+02,2.500000000000000000e+01,5.542999999999999972e+01
1.923572196960449219e+02,2.500000000000000000e+01,5.563000000000000256e+01
1.933572092056274414e+02,2.500000000000000000e+01,5.584000000000000341e+01
1.943544683456420898e+02,2.500000000000000000e+01,5.589000000000000057e+01
1.953523616790771484e+02,2.500000000000000000e+01,5.596999999999999886e+01
1.963498418331146240e+02,2.500000000000000000e+01,5.621000000000000085e+01
1.973493251800537109e+02,2.500000000000000000e+01,5.635999999999999943e+01
1.983478176593780518e+02,2.500000000000000000e+01,5.635999999999999943e+01
1.993461451530456543e+02,2.500000000000000000e+01,5.646000000000000085e+01
2.003472111225128174e+02,2.500000000000000000e+01,5.660000000000000142e+01
2.013504152297973633e+02,2.500000000000000000e+01,5.679999999999999716e+01
2.023562052249908447e+02,2.500000000000000000e+01,5.682000000000000028e+01
2.033602137565612793e+02,2.500000000000000000e+01,5.689000000000000057e+01
2.043617637157440186e+02,2.500000000000000000e+01,5.689000000000000057e+01
2.053591706752777100e+02,2.500000000000000000e+01,5.710999999999999943e+01
2.063581488132476807e+02,2.500000000000000000e+01,5.725999999999999801e+01
2.073569149971008301e+02,2.500000000000000000e+01,5.738000000000000256e+01
2.083571915626525879e+02,2.500000000000000000e+01,5.732999999999999829e+01
2.093528332710266113e+02,2.500000000000000000e+01,5.746000000000000085e+01
2.103517627716064453e+02,2.500000000000000000e+01,5.767999999999999972e+01
2.113517742156982422e+02,2.500000000000000000e+01,5.779999999999999716e+01
2.123484203815460205e+02,2.500000000000000000e+01,5.777000000000000313e+01
2.133472063541412354e+02,2.500000000000000000e+01,5.785000000000000142e+01
2.143474645614624023e+02,2.500000000000000000e+01,5.802000000000000313e+01
2.153471722602844238e+02,2.500000000000000000e+01,5.814000000000000057e+01
2.163472163677215576e+02,2.500000000000000000e+01,5.828999999999999915e+01
2.173517584800720215e+02,2.500000000000000000e+01,5.832999999999999829e+01
2.183491890430450439e+02,2.500000000000000000e+01,5.835999999999999943e+01
2.193471975326538086e+02,2.500000000000000000e+01,5.840999999999999659e+01
2.203462548255920410e+02,2.500000000000000000e+01,5.872999999999999687e+01
2.213394284248352051e+02,2.500000000000000000e+01,5.877000000000000313e+01
2.223403651714324951e+02,2.500000000000000000e+01,5.885000000000000142e+01
2.233454594612121582e+02,2.500000000000000000e+01,5.889999999999999858e+01
2.243439090251922607e+02,2.500000000000000000e+01,5.921000000000000085e+01
2.253417730331420898e+02,2.500000000000000000e+01,5.925999999999999801e+01
2.263402621746063232e+02,2.500000000000000000e+01,5.934000000000000341e+01
2.273402912616729736e+02,2.500000000000000000e+01,5.934000000000000341e+01
2.283384406566619873e+02,2.500000000000000000e+01,5.953000000000000114e+01
2.293383095264434814e+02,2.500000000000000000e+01,5.975000000000000000e+01
2.303317990303039551e+02,2.500000000000000000e+01,5.972999999999999687e+01
2.313337812423706055e+02,2.500000000000000000e+01,5.979999999999999716e+01
2.323325769901275635e+02,2.500000000000000000e+01,5.982000000000000028e+01
2.333302299976348877e+02,2.500000000000000000e+01,6.003999999999999915e+01
2.343313672542572021e+02,2.500000000000000000e+01,6.017000000000000171e+01
2.353326263427734375e+02,2.500000000000000000e+01,6.018999999999999773e+01
2.363303027153015137e+02,2.500000000000000000e+01,6.025999999999999801e+01
2.373305194377899170e+02,2.500000000000000000e+01,6.031000000000000227e+01
2.383305134773254395e+02,2.500000000000000000e+01,6.057999999999999829e+01
2.393281354904174805e+02,2.500000000000000000e+01,6.064999999999999858e+01
2.403274867534637451e+02,2.500000000000000000e+01,6.072999999999999687e+01
2.413291511535644531e+02,2.500000000000000000e+01,6.079999999999999716e+01
2.423281757831573486e+02,2.500000000000000000e+01,6.079999999999999716e+01
2.433302836418151855e+02,2.500000000000000000e+01,6.085000000000000142e+01
2.443281786441802979e+02,2.500000000000000000e+01,6.107000000000000028e+01
2.453272294998168945e+02,2.500000000000000000e+01,6.121999999999999886e+01
2.463283603191375732e+02,2.500000000000000000e+01,6.114000000000000057e+01
2.473306844234466553e+02,2.500000000000000000e+01,6.117000000000000171e+01
2.483282132148742676e+02,2.500000000000000000e+01,6.128999999999999915e+01
2.493274264335632324e+02,2.500000000000000000e+01,6.131000000000000227e+01
2.503238301277160645e+02,2.500000000000000000e+01,6.139000000000000057e+01
2.513262634277343750e+02,2.500000000000000000e+01,6.163000000000000256e+01
2.523304204940795898e+02,2.500000000000000000e+01,6.167999999999999972e+01
2.533317785263061523e+02,2.500000000000000000e+01,6.170000000000000284e+01
2.543328969478607178e+02,2.500000000000000000e+01,6.178000000000000114e+01
2.553317666053771973e+02,2.500000000000000000e+01,6.178000000000000114e+01
2.563338544368743896e+02,2.500000000000000000e+01,6.189999999999999858e+01
2.573338768482208252e+02,2.500000000000000000e+01,6.207000000000000028e+01
2.583361880779266357e+02,2.500000000000000000e+01,6.221999999999999886e+01
2.593372001647949219e+02,2.500000000000000000e+01,6.224000000000000199e+01
2.603402848243713379e+02,2.500000000000000000e+01,6.227000000000000313e+01
2.613429386615753174e+02,2.500000000000000000e+01,6.227000000000000313e+01
2.623448882102966309e+02,2.500000000000000000e+01,6.240999999999999659e+01
2.633373150825500488e+02,2.500000000000000000e+01,6.260999999999999943e+01
2.643348286151885986e+02,2.500000000000000000e+01,6.267999999999999972e+01
2.653364651203155518e+02,2.500000000000000000e+01,6.275000000000000000e+01
2.663418416976928711e+02,2.500000000000000000e+01,6.275000000000000000e+01
2.673438310623168945e+02,2.500000000000000000e+01,6.275000000000000000e+01
2.683428778648376465e+02,2.500000000000000000e+01,6.279999999999999716e+01
2.693428442478179932e+02,2.500000000000000000e+01,6.292000000000000171e+01
2.703428306579589844e+02,2.500000000000000000e+01,6.307000000000000028e+01
2.713418903350830078e+02,2.500000000000000000e+01,6.317000000000000171e+01
2.723435859680175781e+02,2.500000000000000000e+01,6.321999999999999886e+01
2.733438224792480469e+02,2.500000000000000000e+01,6.324000000000000199e+01
2.743350172042846680e+02,2.500000000000000000e+01,6.343999999999999773e+01
2.753322112560272217e+02,2.500000000000000000e+01,6.356000000000000227e+01
2.763228812217712402e+02,2.500000000000000000e+01,6.356000000000000227e+01
2.773239052295684814e+02,2.500000000000000000e+01,6.360999999999999943e+01
2.783239362239837646e+02,2.500000000000000000e+01,6.372999999999999687e+01
2.793170373439788818e+02,2.500000000000000000e+01,6.375000000000000000e+01
2.803195176124572754e+02,2.500000000000000000e+01,6.379999999999999716e+01
2.813203046321868896e+02,2.500000000000000000e+01,6.404999999999999716e+01
2.823181848526000977e+02,2.500000000000000000e+01,6.415000000000000568e+01
2.833173253536224365e+02,2.500000000000000000e+01,6.417000000000000171e+01
2.843206887245178223e+02,2.500000000000000000e+01,6.421999999999999886e+01
2.853206820487976074e+02,2.500000000000000000e+01,6.431999999999999318e+01
2.863217980861663818e+02,2.500000000000000000e+01,6.457999999999999829e+01
2.873247637748718262e+02,2.500000000000000000e+01,6.462999999999999545e+01
2.883243374824523926e+02,2.500000000000000000e+01,6.468000000000000682e+01
2.893225867748260498e+02,2.500000000000000000e+01,6.468000000000000682e+01
2.903228435516357422e+02,2.500000000000000000e+01,6.470999999999999375e+01
2.913229010105133057e+02,2.500000000000000000e+01,6.476000000000000512e+01
2.923217704296112061e+02,2.500000000000000000e+01,6.484999999999999432e+01
2.933238804340362549e+02,2.500000000000000000e+01,6.501999999999999602e+01
2.943217737674713135e+02,2.500000000000000000e+01,6.506999999999999318e+01
2.953248460292816162e+02,2.500000000000000000e+01,6.512000000000000455e+01
2.963263626098632812e+02,2.500000000000000000e+01,6.517000000000000171e+01
