Time (s), Heater (%), Temperature (°C)
0.000000000000000000e+00,0.000000000000000000e+00,4.210999999999999943e+01
9.998190402984619141e-01,0.000000000000000000e+00,4.235999999999999943e+01
2.111186742782592773e+00,0.000000000000000000e+00,4.228999999999999915e+01
3.109829425811767578e+00,0.000000000000000000e+00,4.221000000000000085e+01
4.114019632339477539e+00,0.000000000000000000e+00,4.221000000000000085e+01
5.106211900711059570e+00,0.000000000000000000e+00,4.209000000000000341e+01
6.107096910476684570e+00,0.000000000000000000e+00,4.207000000000000028e+01
7.105030059814453125e+00,0.000000000000000000e+00,4.210999999999999943e+01
8.107098102569580078e+00,0.000000000000000000e+00,4.210999999999999943e+01
9.097730159759521484e+00,0.000000000000000000e+00,4.225999999999999801e+01
1.010293221473693848e+01,0.000000000000000000e+00,4.207000000000000028e+01
1.110001993179321289e+01,0.000000000000000000e+00,4.228999999999999915e+01
1.209814357757568359e+01,0.000000000000000000e+00,4.221000000000000085e+01
1.309920287132263184e+01,0.000000000000000000e+00,4.225999999999999801e+01
1.410404229164123535e+01,0.000000000000000000e+00,4.199000000000000199e+01
1.510402250289916992e+01,0.000000000000000000e+00,4.207000000000000028e+01
1.610143971443176270e+01,0.000000000000000000e+00,4.215999999999999659e+01
1.710293459892272949e+01,0.000000000000000000e+00,4.202000000000000313e+01
1.810111522674560547e+01,0.000000000000000000e+00,4.199000000000000199e+01
1.909800267219543457e+01,0.000000000000000000e+00,4.207000000000000028e+01
2.023485732078552246e+01,4.000000000000000000e+01,4.207000000000000028e+01
2.123741984367370605e+01,4.000000000000000000e+01,4.196999999999999886e+01
2.224123024940490723e+01,4.000000000000000000e+01,4.203999999999999915e+01
2.324289226531982422e+01,4.000000000000000000e+01,4.218999999999999773e+01
2.478143191337585449e+01,4.000000000000000000e+01,4.224000000000000199e+01
2.578272867202758789e+01,4.000000000000000000e+01,4.238000000000000256e+01
2.678138756752014160e+01,4.000000000000000000e+01,4.238000000000000256e+01
2.778102445602416992e+01,4.000000000000000000e+01,4.238000000000000256e+01
2.877880668640136719e+01,4.000000000000000000e+01,4.247999999999999687e+01
2.977086853981018066e+01,4.000000000000000000e+01,4.267999999999999972e+01
3.076177525520324707e+01,4.000000000000000000e+01,4.282000000000000028e+01
3.175511479377746582e+01,4.000000000000000000e+01,4.286999999999999744e+01
3.274981117248535156e+01,4.000000000000000000e+01,4.286999999999999744e+01
3.374195504188537598e+01,4.000000000000000000e+01,4.311999999999999744e+01
3.473651552200317383e+01,4.000000000000000000e+01,4.335999999999999943e+01
3.573568654060363770e+01,4.000000000000000000e+01,4.321000000000000085e+01
3.673509359359741211e+01,4.000000000000000000e+01,4.328999999999999915e+01
3.773718762397766113e+01,4.000000000000000000e+01,4.385000000000000142e+01
3.873979830741882324e+01,4.000000000000000000e+01,4.385000000000000142e+01
3.973874974250793457e+01,4.000000000000000000e+01,4.385000000000000142e+01
4.074130582809448242e+01,4.000000000000000000e+01,4.389999999999999858e+01
4.174237108230590820e+01,4.000000000000000000e+01,4.428999999999999915e+01
4.274503731727600098e+01,4.000000000000000000e+01,4.428999999999999915e+01
4.375105905532836914e+01,4.000000000000000000e+01,4.447999999999999687e+01
4.475100684165954590e+01,4.000000000000000000e+01,4.472999999999999687e+01
4.574881601333618164e+01,4.000000000000000000e+01,4.478000000000000114e+01
4.674983358383178711e+01,4.000000000000000000e+01,4.482000000000000028e+01
4.774989032745361328e+01,4.000000000000000000e+01,4.521000000000000085e+01
4.875265741348266602e+01,4.000000000000000000e+01,4.531000000000000227e+01
4.975401425361633301e+01,4.000000000000000000e+01,4.528999999999999915e+01
5.075610685348510742e+01,4.000000000000000000e+01,4.542999999999999972e+01
5.175749301910400391e+01,4.000000000000000000e+01,4.575000000000000000e+01
5.275980734825134277e+01,4.000000000000000000e+01,4.579999999999999716e+01
5.376114416122436523e+01,4.000000000000000000e+01,4.595000000000000284e+01
5.476502537727355957e+01,4.000000000000000000e+01,4.624000000000000199e+01
5.576879143714904785e+01,4.000000000000000000e+01,4.624000000000000199e+01
5.677199387550354004e+01,4.000000000000000000e+01,4.646000000000000085e+01
5.777404546737670898e+01,4.000000000000000000e+01,4.678000000000000114e+01
5.877294611930847168e+01,4.000000000000000000e+01,4.678000000000000114e+01
5.977401351928710938e+01,4.000000000000000000e+01,4.678000000000000114e+01
6.077403545379638672e+01,4.000000000000000000e+01,4.714000000000000057e+01
6.177707839012145996e+01,4.000000000000000000e+01,4.721999999999999886e+01
6.277502608299255371e+01,4.000000000000000000e+01,4.721999999999999886e+01
6.377610683441162109e+01,4.000000000000000000e+01,4.753000000000000114e+01
6.476834845542907715e+01,4.000000000000000000e+01,4.767999999999999972e+01
6.576679039001464844e+01,4.000000000000000000e+01,4.771000000000000085e+01
6.676617693901062012e+01,4.000000000000000000e+01,4.779999999999999716e+01
6.775668454170227051e+01,4.000000000000000000e+01,4.818999999999999773e+01
6.875979876518249512e+01,4.000000000000000000e+01,4.824000000000000199e+01
6.976294970512390137e+01,4.000000000000000000e+01,4.827000000000000313e+01
7.076293349266052246e+01,4.000000000000000000e+01,4.865999999999999659e+01
7.175561046600341797e+01,4.000000000000000000e+01,4.867999999999999972e+01
7.275402069091796875e+01,4.000000000000000000e+01,4.867999999999999972e+01
7.375295472145080566e+01,4.000000000000000000e+01,4.896999999999999886e+01
7.475294566154479980e+01,4.000000000000000000e+01,4.907000000000000028e+01
7.575209760665893555e+01,4.000000000000000000e+01,4.911999999999999744e+01
7.675583195686340332e+01,4.000000000000000000e+01,4.936999999999999744e+01
7.774982309341430664e+01,4.000000000000000000e+01,4.965999999999999659e+01
7.875214266777038574e+01,4.000000000000000000e+01,4.965999999999999659e+01
7.975294756889343262e+01,4.000000000000000000e+01,4.971000000000000085e+01
8.075210881233215332e+01,4.000000000000000000e+01,4.989999999999999858e+01
8.175502538681030273e+01,4.000000000000000000e+01,5.014999999999999858e+01
8.275880765914916992e+01,4.000000000000000000e+01,5.020000000000000284e+01
8.375805354118347168e+01,4.000000000000000000e+01,5.032000000000000028e+01
8.475691366195678711e+01,4.000000000000000000e+01,5.063000000000000256e+01
8.575282859802246094e+01,4.000000000000000000e+01,5.063000000000000256e+01
8.674709296226501465e+01,4.000000000000000000e+01,5.063000000000000256e+01
8.774509429931640625e+01,4.000000000000000000e+01,5.089999999999999858e+01
8.874322342872619629e+01,4.000000000000000000e+01,5.117000000000000171e+01
8.974402236938476562e+01,4.000000000000000000e+01,5.117000000000000171e+01
9.074144029617309570e+01,4.000000000000000000e+01,5.120000000000000284e+01
9.174115920066833496e+01,4.000000000000000000e+01,5.160999999999999943e+01
9.273855638504028320e+01,4.000000000000000000e+01,5.160999999999999943e+01
9.372881507873535156e+01,4.000000000000000000e+01,5.160999999999999943e+01
9.473112869262695312e+01,4.000000000000000000e+01,5.178000000000000114e+01
9.572697782516479492e+01,4.000000000000000000e+01,5.204999999999999716e+01
9.672247004508972168e+01,4.000000000000000000e+01,5.214999999999999858e+01
9.772881412506103516e+01,4.000000000000000000e+01,5.225000000000000000e+01
9.872447109222412109e+01,4.000000000000000000e+01,5.264000000000000057e+01
9.972043108940124512e+01,4.000000000000000000e+01,5.253999999999999915e+01
1.007190546989440918e+02,4.000000000000000000e+01,5.259000000000000341e+01
1.017098309993743896e+02,4.000000000000000000e+01,5.281000000000000227e+01
1.027119808197021484e+02,4.000000000000000000e+01,5.313000000000000256e+01
1.037128987312316895e+02,4.000000000000000000e+01,5.313000000000000256e+01
1.047168867588043213e+02,4.000000000000000000e+01,5.307999999999999829e+01
1.057168233394622803e+02,4.000000000000000000e+01,5.325000000000000000e+01
1.067129466533660889e+02,4.000000000000000000e+01,5.353999999999999915e+01
1.077070896625518799e+02,4.000000000000000000e+01,5.342000000000000171e+01
1.087088255882263184e+02,4.000000000000000000e+01,5.365999999999999659e+01
