Time (s), Heater (%), Temperature (°C)
6.150000000000000000e+02,5.211002795218176686e+01,7.999749155061266492e+01
6.300000000000000000e+02,5.213939373981762060e+01,7.999521605137817915e+01
6.450000000000000000e+02,5.215586889522791125e+01,7.999610635651083612e+01
6.600000000000000000e+02,5.215688331157927138e+01,7.999851833192593631e+01
6.750000000000000000e+02,5.214735915209361394e+01,8.000074721267117184e+01
6.900000000000000000e+02,5.213611445625119956e+01,8.000177426629028332e+01
7.050000000000000000e+02,5.212896235552913993e+01,8.000157078889327522e+01
7.200000000000000000e+02,5.212797589601857595e+01,8.000068524390280800e+01
7.350000000000000000e+02,5.213118277302863390e+01,7.999980631427558819e+01
7.500000000000000000e+02,5.213557528702455102e+01,7.999934713390160823e+01
7.650000000000000000e+02,5.213852185919647297e+01,7.999937544410857981e+01
7.800000000000000000e+02,5.213921133084768655e+01,7.999969127694760118e+01
7.950000000000000000e+02,5.213811225501304847e+01,8.000003807869427419e+01
8.100000000000000000e+02,5.213645838202111094e+01,8.000023567084036813e+01
8.250000000000000000e+02,5.213522383176557895e+01,8.000024681205468369e+01
8.400000000000000000e+02,5.213486498796349622e+01,8.000013478642966902e+01
8.550000000000000000e+02,5.213520955551628333e+01,8.000000049510083500e+01
8.700000000000000000e+02,5.213584095161289156e+01,7.999991598414482041e+01
8.850000000000000000e+02,5.213633909220159524e+01,7.999990372003429684e+01
9.000000000000000000e+02,5.213652222278830095e+01,7.999994206593686386e+01
9.150000000000000000e+02,5.213641491167933850e+01,7.999999398531122097e+01
9.300000000000000000e+02,5.213618186127978049e+01,8.000002921569875980e+01
9.450000000000000000e+02,5.213597872174104708e+01,8.000003730547553005e+01
9.600000000000000000e+02,5.213589431525653595e+01,8.000002439404130428e+01
9.750000000000000000e+02,5.213592267930353330e+01,8.000000466723565751e+01
9.900000000000000000e+02,5.213600943212649241e+01,7.999999005658077067e+01
1.005000000000000000e+03,5.213608989968925300e+01,7.999998572468450675e+01
1.020000000000000000e+03,5.213612870937578236e+01,7.999998984416299663e+01
1.035000000000000000e+03,5.213612217264590498e+01,7.999999731069345899e+01
1.050000000000000000e+03,5.213609094781365627e+01,8.000000325524479194e+01
1.065000000000000000e+03,5.213605887283333118e+01,8.000000541965044931e+01
1.080000000000000000e+03,5.213604196669477631e+01,8.000000416387956648e+01
1.095000000000000000e+03,5.213604241962335806e+01,8.000000138681593853e+01
1.110000000000000000e+03,5.213605368845185950e+01,7.999999898055671110e+01
1.125000000000000000e+03,5.213606617151563682e+01,7.999999796916375772e+01
1.140000000000000000e+03,5.213607353021524915e+01,7.999999830869796824e+01
1.155000000000000000e+03,5.213607407201966026e+01,7.999999933471650593e+01
1.170000000000000000e+03,5.213607015544266687e+01,8.000000029373438792e+01
1.185000000000000000e+03,5.213606528286543096e+01,8.000000075354631690e+01
1.200000000000000000e+03,5.213606218812117987e+01,8.000000067840795737e+01
1.215000000000000000e+03,5.213606166133261155e+01,8.000000030662022255e+01
1.230000000000000000e+03,5.213606301456921699e+01,7.999999992649208025e+01
1.245000000000000000e+03,5.213606487684494084e+01,7.999999972457430886e+01
1.260000000000000000e+03,5.213606617657760722e+01,7.999999973018617538e+01
1.275000000000000000e+03,5.213606649100627521e+01,7.999999986343158298e+01
