Time (s), Heater (%), Temperature (°C)
6.150000000000000000e+02,5.213627006726580504e+01,7.999989818149293797e+01
6.300000000000000000e+02,5.213620529704561335e+01,7.999993036452434580e+01
6.450000000000000000e+02,5.213616099875239485e+01,7.999995237519198099e+01
6.600000000000000000e+02,5.213613070199772181e+01,7.999996742870706612e+01
6.750000000000000000e+02,5.213610998135786900e+01,7.999997772406243257e+01
6.900000000000000000e+02,5.213609581009626481e+01,7.999998476521415114e+01
7.050000000000000000e+02,5.213608611811671523e+01,7.999998958075639166e+01
7.200000000000000000e+02,5.213607948961639948e+01,7.999999287416761717e+01
7.350000000000000000e+02,5.213607495628859567e+01,7.999999512657080913e+01
7.500000000000000000e+02,5.213607185588516302e+01,7.999999666701449996e+01
7.650000000000000000e+02,5.213606973548113643e+01,7.999999772054013647e+01
7.800000000000000000e+02,5.213606828531217730e+01,7.999999844105690272e+01
7.950000000000000000e+02,5.213606729352621727e+01,7.999999893382516802e+01
8.100000000000000000e+02,5.213606661523392916e+01,7.999999927083388229e+01
8.250000000000000000e+02,5.213606615134273170e+01,7.999999950131723381e+01
8.400000000000000000e+02,5.213606583408300565e+01,7.999999965894681964e+01
8.550000000000000000e+02,5.213606561710638232e+01,7.999999976675098878e+01
8.700000000000000000e+02,5.213606546871400127e+01,7.999999984047917678e+01
8.850000000000000000e+02,5.213606536722721785e+01,7.999999989090247254e+01
9.000000000000000000e+02,5.213606529781979759e+01,7.999999992538732840e+01
9.150000000000000000e+02,5.213606525035200434e+01,7.999999994897171973e+01
9.300000000000000000e+02,5.213606521788818071e+01,7.999999996510132405e+01
9.450000000000000000e+02,5.213606519568533315e+01,7.999999997613258529e+01
9.600000000000000000e+02,5.213606518050086436e+01,7.999999998367690068e+01
9.750000000000000000e+02,5.213606517011677965e+01,7.999999998883640728e+01
9.900000000000000000e+02,5.213606516301452842e+01,7.999999999236513304e+01
1.005000000000000000e+03,5.213606515815710196e+01,7.999999999477847723e+01
1.020000000000000000e+03,5.213606515483466808e+01,7.999999999642903958e+01
1.035000000000000000e+03,5.213606515256327611e+01,7.999999999755772251e+01
1.050000000000000000e+03,5.213606515100947547e+01,7.999999999832971298e+01
1.065000000000000000e+03,5.213606514994650354e+01,7.999999999885773150e+01
1.080000000000000000e+03,5.213606514922011570e+01,7.999999999921874405e+01
1.095000000000000000e+03,5.213606514872284947e+01,7.999999999946572871e+01
1.110000000000000000e+03,5.213606514838293293e+01,7.999999999963461050e+01
1.125000000000000000e+03,5.213606514815077730e+01,7.999999999975005949e+01
1.140000000000000000e+03,5.213606514799171521e+01,7.999999999982907184e+01
1.155000000000000000e+03,5.213606514788278190e+01,7.999999999988312993e+01
1.170000000000000000e+03,5.213606514780838808e+01,7.999999999992007815e+01
1.185000000000000000e+03,5.213606514775769796e+01,7.999999999994531663e+01
1.200000000000000000e+03,5.213606514772330058e+01,7.999999999996254019e+01
1.215000000000000000e+03,5.213606514769921318e+01,7.999999999997442046e+01
1.230000000000000000e+03,5.213606514768302702e+01,7.999999999998249223e+01
1.245000000000000000e+03,5.213606514767165123e+01,7.999999999998806288e+01
1.260000000000000000e+03,5.213606514766382816e+01,7.999999999999187139e+01
1.275000000000000000e+03,5.213606514765872646e+01,7.999999999999442934e+01
1.290000000000000000e+03,5.213606514765517375e+01,7.999999999999619149e+01
1.305000000000000000e+03,5.213606514765281474e+01,7.999999999999738520e+01
1.320000000000000000e+03,5.213606514765098154e+01,7.999999999999823785e+01
1.335000000000000000e+03,5.213606514764978783e+01,7.999999999999880629e+01
1.350000000000000000e+03,5.213606514764926203e+01,7.999999999999914735e+01
1.365000000000000000e+03,5.213606514764899202e+01,7.999999999999937472e+01
1.380000000000000000e+03,5.213606514764840227e+01,7.999999999999960210e+01
1.395000000000000000e+03,5.213606514764786226e+01,7.999999999999977263e+01
1.410000000000000000e+03,5.213606514764781252e+01,7.999999999999982947e+01
1.425000000000000000e+03,5.213606514764768463e+01,7.999999999999988631e+01
1.440000000000000000e+03,5.213606514764784805e+01,7.999999999999988631e+01
1.455000000000000000e+03,5.213606514764764199e+01,7.999999999999994316e+01
1.470000000000000000e+03,5.213606514764772015e+01,7.999999999999994316e+01
1.485000000000000000e+03,5.213606514764779831e+01,7.999999999999994316e+01
1.500000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.515000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.530000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.545000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.560000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.575000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.590000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.605000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.620000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.635000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.650000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.665000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.680000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.695000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.710000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.725000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.740000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.755000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.770000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.785000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.800000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.815000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.830000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.845000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.860000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.875000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.890000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.905000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.920000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.935000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.950000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.965000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
1.980000000000000000e+03,5.213606514764751410e+01,8.000000000000000000e+01
