Time (s), Heater (%), Temperature (°C)
6.150000000000000000e+02,5.213130144536290800e+01,8.000224069741403810e+01
6.300000000000000000e+02,5.212738384135123937e+01,8.000150737179308180e+01
6.450000000000000000e+02,5.212861639504323108e+01,8.000047346346798349e+01
6.600000000000000000e+02,5.213233511063216952e+01,7.999968262387494633e+01
6.750000000000000000e+02,5.213599909476880612e+01,7.999935171149240887e+01
6.900000000000000000e+02,5.213815105502651193e+01,7.999942131691938130e+01
7.050000000000000000e+02,5.213855858368242480e+01,7.999969516222364518e+01
7.200000000000000000e+02,5.213778871754011845e+01,7.999997707711236217e+01
7.350000000000000000e+02,5.213664675353007993e+01,8.000014989701770673e+01
7.500000000000000000e+02,5.213574934438349828e+01,8.000018970381239569e+01
7.650000000000000000e+02,5.213535610738159676e+01,8.000013625584193733e+01
7.800000000000000000e+02,5.213541396856039256e+01,8.000005026882462289e+01
7.950000000000000000e+02,5.213571030722641098e+01,7.999998009014979061e+01
8.100000000000000000e+02,5.213602541318007155e+01,7.999994740288184403e+01
8.250000000000000000e+02,5.213622429789326418e+01,7.999994965704428296e+01
8.400000000000000000e+02,5.213627548150495272e+01,7.999997127779835182e+01
8.550000000000000000e+02,5.213622031991612715e+01,7.999999541190493346e+01
8.700000000000000000e+02,5.213612570074023012e+01,8.000001126723134348e+01
8.850000000000000000e+02,5.213604636710977047e+01,8.000001592118024973e+01
9.000000000000000000e+02,5.213600790985508127e+01,8.000001219786412321e+01
9.150000000000000000e+02,5.213600868968395474e+01,8.000000511576416784e+01
9.300000000000000000e+02,5.213603192140120512e+01,7.999999894225578601e+01
9.450000000000000000e+02,5.213605880808017901e+01,7.999999578680296963e+01
9.600000000000000000e+02,5.213607696696423943e+01,7.999999565577974181e+01
9.750000000000000000e+02,5.213608273501121460e+01,7.999999733254850298e+01
9.900000000000000000e+02,5.213607898576156430e+01,7.999999938176819114e+01
1.005000000000000000e+03,5.213607122688499373e+01,8.000000082028111592e+01
1.020000000000000000e+03,5.213606427188311443e+01,8.000000132402192321e+01
1.035000000000000000e+03,5.213606058956931832e+01,8.000000108210440430e+01
1.050000000000000000e+03,5.213606029196545677e+01,8.000000050512443295e+01
1.065000000000000000e+03,5.213606207844971152e+01,7.999999996652098844e+01
1.080000000000000000e+03,5.213606435342207845e+01,7.999999966750141311e+01
1.095000000000000000e+03,5.213606599394347541e+01,7.999999962814962373e+01
1.110000000000000000e+03,5.213606660440085960e+01,7.999999975534950636e+01
1.125000000000000000e+03,5.213606637085513285e+01,7.999999992786916891e+01
1.140000000000000000e+03,5.213606574179762987e+01,8.000000005707818218e+01
1.155000000000000000e+03,5.213606513705865808e+01,8.000000010902243730e+01
1.170000000000000000e+03,5.213606479042567088e+01,8.000000009517526678e+01
1.185000000000000000e+03,5.213606473342224490e+01,8.000000004873908210e+01
1.200000000000000000e+03,5.213606486747590196e+01,8.000000000212907025e+01
1.215000000000000000e+03,5.213606505830536264e+01,7.999999997422423803e+01
1.230000000000000000e+03,5.213606520508177056e+01,7.999999996843234840e+01
1.245000000000000000e+03,5.213606526707764033e+01,7.999999997780832928e+01
1.260000000000000000e+03,5.213606525486189724e+01,7.999999999220278823e+01
1.275000000000000000e+03,5.213606520451752857e+01,8.000000000370107500e+01
1.290000000000000000e+03,5.213606515235589001e+01,8.000000000887996521e+01
1.305000000000000000e+03,5.213606512019094907e+01,8.000000000830203817e+01
1.320000000000000000e+03,5.213606511260484666e+01,8.000000000461699301e+01
1.335000000000000000e+03,5.213606512234081691e+01,8.000000000061595529e+01
1.350000000000000000e+03,5.213606513820182187e+01,7.999999999804572326e+01
1.365000000000000000e+03,5.213606515121595919e+01,7.999999999734285439e+01
1.380000000000000000e+03,5.213606515732751490e+01,7.999999999800712658e+01
1.395000000000000000e+03,5.213606515696911714e+01,7.999999999919657512e+01
1.410000000000000000e+03,5.213606515299913724e+01,8.000000000021100277e+01
1.425000000000000000e+03,5.213606514853684359e+01,8.000000000071446493e+01
1.440000000000000000e+03,5.213606514558871652e+01,8.000000000071833028e+01
1.455000000000000000e+03,5.213606514470858144e+01,8.000000000043075943e+01
1.470000000000000000e+03,5.213606514538287939e+01,8.000000000009015366e+01
1.485000000000000000e+03,5.213606514668934011e+01,7.999999999985601562e+01
1.500000000000000000e+03,5.213606514783237600e+01,7.999999999977836751e+01
1.515000000000000000e+03,5.213606514842148698e+01,7.999999999982270538e+01
1.530000000000000000e+03,5.213606514845154294e+01,7.999999999991990762e+01
1.545000000000000000e+03,5.213606514814436110e+01,8.000000000000864020e+01
1.560000000000000000e+03,5.213606514776462575e+01,8.000000000005672973e+01
1.575000000000000000e+03,5.213606514749857723e+01,8.000000000006161827e+01
1.590000000000000000e+03,5.213606514740229869e+01,8.000000000003973355e+01
1.605000000000000000e+03,5.213606514744728315e+01,8.000000000001085709e+01
1.620000000000000000e+03,5.213606514755262822e+01,7.999999999998982503e+01
1.635000000000000000e+03,5.213606514765329791e+01,7.999999999998163958e+01
1.650000000000000000e+03,5.213606514770839340e+01,7.999999999998436806e+01
1.665000000000000000e+03,5.213606514771649358e+01,7.999999999999221245e+01
