Time (s), Heater (%), Temperature (°C)
6.150000000000000000e+02,5.213745509560667557e+01,7.999906009781631155e+01
6.300000000000000000e+02,5.213708898865380803e+01,7.999930766323041098e+01
6.450000000000000000e+02,5.213681931341383802e+01,7.999949002104864348e+01
6.600000000000000000e+02,5.213662066974873710e+01,7.999962434671510891e+01
6.750000000000000000e+02,5.213647434803876024e+01,7.999972329169577279e+01
6.900000000000000000e+02,5.213636656681391912e+01,7.999979617509859509e+01
7.050000000000000000e+02,5.213628717464300877e+01,7.999984986141339505e+01
7.200000000000000000e+02,5.213622869396386506e+01,7.999988940705321738e+01
7.350000000000000000e+02,5.213618561678548957e+01,7.999991853659554408e+01
7.500000000000000000e+02,5.213615388590063304e+01,7.999993999358309793e+01
7.650000000000000000e+02,5.213613051275468280e+01,7.999995579892367914e+01
7.800000000000000000e+02,5.213611329596324850e+01,7.999996744122910286e+01
7.950000000000000000e+02,5.213610061397578477e+01,7.999997601701903704e+01
8.100000000000000000e+02,5.213609127235119445e+01,7.999998233399583114e+01
8.250000000000000000e+02,5.213608439125686544e+01,7.999998698711777934e+01
8.400000000000000000e+02,5.213607932260202205e+01,7.999999041463473759e+01
8.550000000000000000e+02,5.213607558900222472e+01,7.999999293936366485e+01
8.700000000000000000e+02,5.213607283881061960e+01,7.999999479909382671e+01
8.850000000000000000e+02,5.213607081300303037e+01,7.999999616898202248e+01
9.000000000000000000e+02,5.213606932078182865e+01,7.999999717804962529e+01
9.150000000000000000e+02,5.213606822160219423e+01,7.999999792133485244e+01
9.300000000000000000e+02,5.213606741194129057e+01,7.999999846884293220e+01
9.450000000000000000e+02,5.213606681553989119e+01,7.999999887214067940e+01
9.600000000000000000e+02,5.213606637622670092e+01,7.999999916921223075e+01
9.750000000000000000e+02,5.213606605262594940e+01,7.999999938803688337e+01
9.900000000000000000e+02,5.213606581426007125e+01,7.999999954922435563e+01
1.005000000000000000e+03,5.213606563867843136e+01,7.999999966795598993e+01
1.020000000000000000e+03,5.213606550934347439e+01,7.999999975541447839e+01
1.035000000000000000e+03,5.213606541407514783e+01,7.999999981983683028e+01
1.050000000000000000e+03,5.213606534389937508e+01,7.999999986729079637e+01
1.065000000000000000e+03,5.213606529220766106e+01,7.999999990224563362e+01
1.080000000000000000e+03,5.213606525413144510e+01,7.999999992799354231e+01
