Time (s), Heater (%), Temperature (°C)
6.150000000000000000e+02,5.213403628059860750e+01,8.000046745873618192e+01
6.300000000000000000e+02,5.213301077708828046e+01,8.000021230414694173e+01
6.450000000000000000e+02,5.213543296736973076e+01,7.999988588693742031e+01
6.600000000000000000e+02,5.213572977460591318e+01,7.999983688614833000e+01
6.750000000000000000e+02,5.213697711233115939e+01,7.999982293619677876e+01
6.900000000000000000e+02,5.213653893730914035e+01,7.999993374512348510e+01
7.050000000000000000e+02,5.213664244722757246e+01,7.999998829140901080e+01
7.200000000000000000e+02,5.213604768098490183e+01,8.000004664972499313e+01
7.350000000000000000e+02,5.213604400612454270e+01,8.000003944779075482e+01
7.500000000000000000e+02,5.213582149878786254e+01,8.000003272881150451e+01
7.650000000000000000e+02,5.213597962462316815e+01,8.000000483580811306e+01
7.800000000000000000e+02,5.213596971580368233e+01,7.999999582625258654e+01
7.950000000000000000e+02,5.213610301160368721e+01,7.999998689657758177e+01
8.100000000000000000e+02,5.213608388549788231e+01,7.999999217268225493e+01
8.250000000000000000e+02,5.213612138627879489e+01,7.999999494136125122e+01
8.400000000000000000e+02,5.213607554592983462e+01,8.000000108651209985e+01
8.550000000000000000e+02,5.213607833052093810e+01,8.000000198531006390e+01
8.700000000000000000e+02,5.213605045759238976e+01,8.000000305342479123e+01
8.850000000000000000e+02,5.213605978200173041e+01,8.000000124486649611e+01
9.000000000000000000e+02,5.213605353748822324e+01,8.000000056906168311e+01
9.150000000000000000e+02,5.213606529732493300e+01,7.999999935623708325e+01
9.300000000000000000e+02,5.213606383662352073e+01,7.999999944660521578e+01
9.450000000000000000e+02,5.213606937309834422e+01,7.999999938218070383e+01
9.600000000000000000e+02,5.213606618491919420e+01,7.999999987180927974e+01
9.750000000000000000e+02,5.213606731605582212e+01,7.999999998924801048e+01
9.900000000000000000e+02,5.213606453765082449e+01,8.000000020454740479e+01
1.005000000000000000e+03,5.213606517272916818e+01,8.000000012031750884e+01
1.020000000000000000e+03,5.213606410482529441e+01,8.000000010866494904e+01
1.035000000000000000e+03,5.213606503061789255e+01,7.999999999297131126e+01
1.050000000000000000e+03,5.213606478098864727e+01,7.999999998224501496e+01
1.065000000000000000e+03,5.213606539975693011e+01,7.999999994813816784e+01
1.080000000000000000e+03,5.213606517271471574e+01,7.999999997911299943e+01
1.095000000000000000e+03,5.213606537937334195e+01,7.999999998403995960e+01
1.110000000000000000e+03,5.213606513629526518e+01,8.000000000878702622e+01
