Time (s), Heater (%), Temperature (°C)
6.150000000000000000e+02,5.213461403748943468e+01,8.000118488752457324e+01
6.300000000000000000e+02,5.213190728567632704e+01,8.000090251696724408e+01
6.450000000000000000e+02,5.213204999967565101e+01,8.000038612905655100e+01
6.600000000000000000e+02,5.213372592433903918e+01,7.999994446508242163e+01
6.750000000000000000e+02,5.213559114492790059e+01,7.999972008886976482e+01
6.900000000000000000e+02,5.213682040436719234e+01,7.999970617014594154e+01
7.050000000000000000e+02,5.213720608155849590e+01,7.999981522218621421e+01
7.200000000000000000e+02,5.213696768559830730e+01,7.999994953776729290e+01
7.350000000000000000e+02,5.213647583314681810e+01,8.000004454999839254e+01
7.500000000000000000e+02,5.213603809422841096e+01,8.000007985618248085e+01
7.650000000000000000e+02,5.213580458639984982e+01,8.000006780869296108e+01
7.800000000000000000e+02,5.213577787820453580e+01,8.000003412705740402e+01
7.950000000000000000e+02,5.213587718578053654e+01,8.000000176421360720e+01
8.100000000000000000e+02,5.213600732944809124e+01,7.999998300392354622e+01
8.250000000000000000e+02,5.213610293838571863e+01,7.999997929263821561e+01
8.400000000000000000e+02,5.213614126477144595e+01,7.999998545440990938e+01
8.550000000000000000e+02,5.213613238918947701e+01,7.999999467571171863e+01
8.700000000000000000e+02,5.213610070298106791e+01,8.000000193811928284e+01
8.850000000000000000e+02,5.213606888577740506e+01,8.000000522009077031e+01
9.000000000000000000e+02,5.213604964517709561e+01,8.000000497609954664e+01
9.150000000000000000e+02,5.213604507205565852e+01,8.000000286157973051e+01
9.300000000000000000e+02,5.213605050173501354e+01,8.000000054395934512e+01
9.450000000000000000e+02,5.213605935440571670e+01,7.999999903443267613e+01
9.600000000000000000e+02,5.213606659755559747e+01,7.999999857598191966e+01
9.750000000000000000e+02,5.213607006288246026e+01,7.999999888631339218e+01
9.900000000000000000e+02,5.213607004240697052e+01,7.999999950225577550e+01
1.005000000000000000e+03,5.213606808495144662e+01,8.000000004384992280e+01
1.020000000000000000e+03,5.213606582486832508e+01,8.000000032863295019e+01
1.035000000000000000e+03,5.213606429446637947e+01,8.000000035688958633e+01
1.050000000000000000e+03,5.213606377968634575e+01,8.000000023076688649e+01
1.065000000000000000e+03,5.213606403629714947e+01,8.000000006864189572e+01
1.080000000000000000e+03,5.213606462133541442e+01,7.999999995088364813e+01
1.095000000000000000e+03,5.213606515704113065e+01,7.999999990470053035e+01
1.110000000000000000e+03,5.213606545223832001e+01,7.999999991681829670e+01
1.125000000000000000e+03,5.213606549586376104e+01,7.999999995665115193e+01
1.140000000000000000e+03,5.213606538176659200e+01,7.999999999611270596e+01
1.155000000000000000e+03,5.213606522501811469e+01,8.000000001967833896e+01
1.170000000000000000e+03,5.213606510679044703e+01,8.000000002500462415e+01
1.185000000000000000e+03,5.213606505706150784e+01,8.000000001803556415e+01
1.200000000000000000e+03,5.213606506532586593e+01,8.000000000697633595e+01
1.215000000000000000e+03,5.213606510266723859e+01,7.999999999803145556e+01
1.230000000000000000e+03,5.213606514138736969e+01,7.999999999382271199e+01
1.245000000000000000e+03,5.213606516548223624e+01,7.999999999393014605e+01
1.260000000000000000e+03,5.213606517183654177e+01,7.999999999640334636e+01
1.275000000000000000e+03,5.213606516576623306e+01,7.999999999921328708e+01
1.290000000000000000e+03,5.213606515517443540e+01,8.000000000109412213e+01
1.305000000000000000e+03,5.213606514627159783e+01,8.000000000170865633e+01
1.320000000000000000e+03,5.213606514185050855e+01,8.000000000137225697e+01
1.335000000000000000e+03,5.213606514168861850e+01,8.000000000063892003e+01
1.350000000000000000e+03,5.213606514396683878e+01,7.999999999997572786e+01
1.365000000000000000e+03,5.213606514670100722e+01,7.999999999961534058e+01
1.380000000000000000e+03,5.213606514860391883e+01,7.999999999956708052e+01
1.395000000000000000e+03,5.213606514928486035e+01,7.999999999971231546e+01
1.410000000000000000e+03,5.213606514901454148e+01,7.999999999990768629e+01
1.425000000000000000e+03,5.213606514831994332e+01,8.000000000005343281e+01
1.440000000000000000e+03,5.213606514766443212e+01,8.000000000011357315e+01
1.455000000000000000e+03,5.213606514729183061e+01,8.000000000010197709e+01
1.470000000000000000e+03,5.213606514722570751e+01,8.000000000005491074e+01
1.485000000000000000e+03,5.213606514735632658e+01,8.000000000000682121e+01
1.500000000000000000e+03,5.213606514754517463e+01,7.999999999997726263e+01
1.515000000000000000e+03,5.213606514769046640e+01,7.999999999996987299e+01
1.530000000000000000e+03,5.213606514775521106e+01,7.999999999997766054e+01
1.545000000000000000e+03,5.213606514774819800e+01,7.999999999999090505e+01
