Tiempo (seg), Entrada 25 (%), Temperatura 1 (°C)
2.695224928855895996e+01,0.000000000000000000e+00,2.755000000000000071e+01
2.795204091072082520e+01,0.000000000000000000e+00,2.750000000000000000e+01
2.895229363441467285e+01,0.000000000000000000e+00,2.751999999999999957e+01
2.995539760589599609e+01,3.000000000000000000e+01,2.737999999999999901e+01
3.095330548286437988e+01,3.000000000000000000e+01,2.737999999999999901e+01
3.195849466323852539e+01,3.000000000000000000e+01,2.742999999999999972e+01
3.296297216415405273e+01,3.000000000000000000e+01,2.744999999999999929e+01
3.396909141540527344e+01,3.000000000000000000e+01,2.748000000000000043e+01
3.497069787979125977e+01,3.000000000000000000e+01,2.760000000000000142e+01
3.597214722633361816e+01,3.000000000000000000e+01,2.794000000000000128e+01
3.697288799285888672e+01,3.000000000000000000e+01,2.803999999999999915e+01
3.797441959381103516e+01,3.000000000000000000e+01,2.823000000000000043e+01
3.897815179824829102e+01,3.000000000000000000e+01,2.844999999999999929e+01
3.998154330253601074e+01,3.000000000000000000e+01,2.862000000000000099e+01
4.098586869239807129e+01,3.000000000000000000e+01,2.896000000000000085e+01
4.198973727226257324e+01,3.000000000000000000e+01,2.905999999999999872e+01
4.299552202224731445e+01,3.000000000000000000e+01,2.935999999999999943e+01
4.398795747756958008e+01,3.000000000000000000e+01,2.964999999999999858e+01
4.499402523040771484e+01,3.000000000000000000e+01,2.996999999999999886e+01
4.598809814453125000e+01,3.000000000000000000e+01,3.016000000000000014e+01
4.698621845245361328e+01,3.000000000000000000e+01,3.048000000000000043e+01
4.798634433746337891e+01,3.000000000000000000e+01,3.075000000000000000e+01
4.898011755943298340e+01,3.000000000000000000e+01,3.101999999999999957e+01
4.998331475257873535e+01,3.000000000000000000e+01,3.130999999999999872e+01
5.097596406936645508e+01,3.000000000000000000e+01,3.150000000000000000e+01
5.197977900505065918e+01,3.000000000000000000e+01,3.189000000000000057e+01
5.298458290100097656e+01,3.000000000000000000e+01,3.198999999999999844e+01
5.397551369667053223e+01,3.000000000000000000e+01,3.240999999999999659e+01
5.497985553741455078e+01,3.000000000000000000e+01,3.257999999999999829e+01
5.597640085220336914e+01,3.000000000000000000e+01,3.292000000000000171e+01
5.696809077262878418e+01,3.000000000000000000e+01,3.331000000000000227e+01
5.795890545845031738e+01,3.000000000000000000e+01,3.346000000000000085e+01
5.895222282409667969e+01,3.000000000000000000e+01,3.386999999999999744e+01
5.995353627204895020e+01,3.000000000000000000e+01,3.395000000000000284e+01
6.095439171791076660e+01,3.000000000000000000e+01,3.434000000000000341e+01
6.194627118110656738e+01,3.000000000000000000e+01,3.440999999999999659e+01
6.293809843063354492e+01,3.000000000000000000e+01,3.470000000000000284e+01
6.394230866432189941e+01,3.000000000000000000e+01,3.492000000000000171e+01
6.494618892669677734e+01,3.000000000000000000e+01,3.528999999999999915e+01
6.593804359436035156e+01,3.000000000000000000e+01,3.540999999999999659e+01
6.693178915977478027e+01,3.000000000000000000e+01,3.579999999999999716e+01
6.792950177192687988e+01,3.000000000000000000e+01,3.589999999999999858e+01
6.892854452133178711e+01,3.000000000000000000e+01,3.621999999999999886e+01
6.993389081954956055e+01,3.000000000000000000e+01,3.643999999999999773e+01
7.093808960914611816e+01,3.000000000000000000e+01,3.679999999999999716e+01
7.193004989624023438e+01,3.000000000000000000e+01,3.689999999999999858e+01
7.293069720268249512e+01,3.000000000000000000e+01,3.727000000000000313e+01
7.392198896408081055e+01,3.000000000000000000e+01,3.750999999999999801e+01
7.492612910270690918e+01,3.000000000000000000e+01,3.779999999999999716e+01
7.592953944206237793e+01,3.000000000000000000e+01,3.804999999999999716e+01
7.693273234367370605e+01,3.000000000000000000e+01,3.832000000000000028e+01
7.792975258827209473e+01,3.000000000000000000e+01,3.865999999999999659e+01
7.893389129638671875e+01,3.000000000000000000e+01,3.882999999999999829e+01
7.992501330375671387e+01,3.000000000000000000e+01,3.921999999999999886e+01
